1,2.4,0.6667,126.22,3,2,1,2,1,1,1,18,3
2,1,0.6667,47.5,3,1,1,2,1,0.5,0,33,8
3,1.7,0.3333,73.75,2,0.5,1,3,1,0.5,0,34,6
4,2.4,1,114.44,3,2,1,1,0,1,1,17,4
3,2.4,1,110.83,3,2,0,2,1,0.5,1,33,4
5,1.7,1,83.57,2,2,0,2,1,0.5,0,34,6
5,2.2,1,95.26,2,2,0,2,1,0.5,1,33,4
3,1.7,0.6667,78.93,2,2,1,2,1,0.5,0,18,3
6,1.7,1,77,2,2,0.5,2,1,0.5,0,27,6
1,1.7,1,88.07,1,2,1,2,1,1,1,33,4
2,2.2,1,143.25,3,2,1,4,1,0.5,1,47,6
3,2.4,0.6667,132.02,1,2,0.5,2,1,0.5,0,33,5
1,2.2,0.3333,93.77,1,2,1,2,1,0.5,0,24,4
1,1.5,0.6667,94.84,2,2,0,2,1,0.5,0,45,4
1,1.7,1,88.15,1,2,0,2,1,0.5,0,33,4
3,2.2,0.6667,106.45,2,2,0,2,1,1,0,33,4
3,1.5,1,59.74,2,2,1,2,1,1,0,26,4
2,1.7,0.6667,84.07,2,2,0.5,1,0.5,0.5,1,6,2
3,1.7,1,62.32,2,2,1,2,1,1,0,18,4
1,2.2,0.6667,90.99,3,2,1,2,1,1,1,34,4
2,2.4,1,128.73,2,2,0,1,0.5,0.5,1,6,2
7,1.5,0.6667,68,0,2,0.5,1,0,1,1,7,2
14,1.7,0.3333,78,2,2,0,3,1,0.5,1,49,8
5,2.4,0.6667,116,2,2,1,2,1,0.5,0,30,4
3,1.5,1,73.17,2,2,1,2,1,1,0,33,5
1,2.9,0.6667,152.98,1,2,0,2,1,0.5,1,32,4
4,2,1,92.29,3,2,1,2,1,1,1,26,4
6,2.2,0.6667,86.38,2,2,1,2,1,0.5,0,24,4
2,1.5,0.3333,84.4,1,2,1,2,1,0.5,0,34,4
1,2.4,0.6667,116.44,3,2,0.5,1,1,0.5,1,11,2
2,2,0.3333,84,2,2,0,1,0,0.5,0,34,4
