,0
149,22884.5285451115
150,19488.690812128905
151,20874.70178534257
152,17946.12762469391
153,19751.981621478233
154,19624.578498486502
155,21544.73025218336
156,22320.748667397278
157,22438.042835651402
158,20009.271165350103
159,20494.788406694304
160,18056.625018588806
161,20976.30658208277
162,18331.45427362071
163,21470.1888411588
164,15555.574804652166
165,21895.51236471125
166,22581.23703768194
167,24917.7409010884
168,22495.72258596144
169,21186.335492975086
170,19089.803743288987
171,20238.871498781104
172,20822.75182437827
173,21180.31444328279
174,22265.950557271775
175,16487.96829753588
176,19379.28791983717
177,24574.19201535711
178,19252.936339539556
179,19513.208686906848
180,18462.70066638908
181,19809.233516967925
182,21552.490621289115
183,18887.258267876416
184,23893.34027492679
185,16988.117026372125
186,20438.02864286309
187,17916.756941461605
188,21933.342299497966
189,17834.67397961433
190,22548.464338937836
191,20281.47174915291
192,18253.750022015054
193,19102.083581859533
194,19721.572719441247
195,22015.37738552392
196,17813.201713089158
197,24445.652789569227
198,20579.17286128465
199,16975.372521199723
200,19673.4345281266
201,20558.6916026711
202,17259.47295098489
203,20200.991001552633
204,20730.311965553392
205,22494.502739287804
206,20858.26669469886
207,22161.451623140023
208,21396.31944463938
209,18496.242035238298
210,21605.411932997173
211,18619.090066810117
212,23326.049417224953
213,22828.265871651496
214,23009.395024999576
215,25880.65438287322
216,19954.80723502925
217,17424.385394095705
218,17410.56970206415
219,22642.584406132868
220,23170.16461737188
221,20766.14990531524
222,22304.60394144165
223,20003.727831067445
224,20951.379797101854
225,22721.11922082631
226,23518.54574867501
227,22815.23651945017
228,16006.02560980827
229,17487.43398438333
230,20578.108141394376
231,21581.722123472104
232,22807.200663958778
233,21234.3133039437
234,20907.27609977105
235,21263.893233213457
236,18410.155279447674
237,19919.487667617617
238,23251.267395764666
239,20175.987961485236
240,20877.394016606482
241,22667.477419611794
242,18767.86099009876
243,17382.532662857335
244,18730.18275517998
245,22177.87703358593
246,20934.9223647639
247,19155.78357548935
248,17195.64680835673
249,23386.3963767227
250,19466.91214841647
251,24493.107223872288
252,19619.212883821263
253,18246.430364989916
254,20626.19412148466
255,20377.124975474955
256,22113.460495637824
257,19793.01196362785
258,18784.449612256452
259,18195.672806363847
260,19884.542897308773
261,21409.795145979217
262,23975.132501160544
263,17929.614814559533
264,21472.341669486952
265,14875.705128935871
266,23174.246522347858
267,20176.929656372406
268,20680.6318108428
269,21931.773858155502
270,17323.86465029623
271,23268.46669875139
272,17475.900955769725
273,19840.51966141338
274,22347.713832765705
275,24284.667978183323
276,22049.119276359652
277,17889.987297309242
278,23552.62286933566
279,22106.46290307967
280,20453.82550246644
281,21056.48435290115
282,19984.11155352606
283,20903.37101711694
284,22125.996003475182
285,15751.455624459986
286,20529.518598987343
287,23148.142996829294
288,19939.83215964467
289,18577.358852491936
290,16925.46365270136
291,17532.486427110332
292,23119.030165221786
293,15819.212438601675
294,20080.96567755386
295,17016.24975216173
296,21230.48145372523
297,23049.32830568007
298,20936.268655505966
299,21092.973989146
300,18396.300825307528
301,17994.226093739857
302,20267.599645292925
303,19389.423037038738
304,21312.260500306063
305,17567.490335099756
306,21373.5052739933
307,21294.520127784268
308,20615.350933401358
309,22504.89204548305
310,18265.00682563512
311,20373.409017364327
312,16738.424042821633
313,18543.808109423073
314,21502.523116319153
315,21345.27093285012
316,18781.50722145047
317,29047.259160508678
318,23051.985808679896
319,20110.4767863888
320,18549.56542097182
321,23879.230497356246
322,16087.793743167194
323,16484.85678946209
324,21137.68872172805
325,20850.30397741096
326,21291.82911606713
327,19548.946178124617
328,23560.373960774185
329,19617.94040651069
330,17998.675270368578
331,21122.512997448197
332,21990.010216201183
333,21990.010216201183
334,20977.242156454224
335,18831.051247757438
336,16826.853932495567
337,23908.209578309084
338,19833.295294153
339,19392.74561580779
340,20896.03309773608
341,20349.718758882806
342,22048.11443847866
343,20158.20105345275
344,20817.01904150335
345,18849.323304162855
346,23937.722069457755
347,16415.15857462062
348,18910.07250117119
349,21701.75452914985
350,24402.520063501768
351,16726.59968150655
352,21386.07794907577
353,17991.77399156021
354,18304.056886265535
355,21847.21818765493
356,21488.34403021371
357,21913.61339441939
358,21540.221652117827
359,22647.422651902285
360,22143.487020401128
361,19195.07661900597
362,21709.46463760281
363,23080.472781722918
364,18939.34241737718
365,16867.408549622956
366,16655.244751344668
