所在区域,平均价格(元/平方),房屋类型,所在楼层,建筑面积,建筑类型,房屋朝向,装修情况,梯户比例,配备电梯,挂牌时间,上次交易时间,产权所属,抵押信息
8,18875,2室1厅1厨1卫,中楼层 (共6层),57.22,2,南 北,0.5,一梯两户,0.5,2019/4/14,2000/9/23,1,1
4,22722,2室2厅1厨1卫,中楼层 (共17层),82.74,3,南,1,两梯三户,1,2019/4/1,2010/2/1,0.5,1
3,23792,3室2厅1厨2卫,高楼层 (共27层),105.08,2,南 北,1,三梯六户,1,2019/1/29,2018/8/7,1,0.5
1,26456,2室2厅1厨1卫,中楼层 (共33层),85.05,1,南,0,两梯四户,1,2018/8/24,2018/5/17,1,1
4,37982,3室2厅1厨1卫,高楼层 (共32层),96.89,2,西南,0.5,三梯六户,1,2019/3/3,2014/4/1,1,1
14,18116,3室2厅1厨1卫,高楼层 (共46层),99.36,2,南,1,三梯四户,1,2019/3/28,2016/11/18,0.5,1
2,21348,2室1厅1厨1卫,低楼层 (共18层),86.66,3,南 北,1,两梯八户,1,2019/3/31,2015/3/25,0.5,1
9,13764,2室2厅1厨1卫,高楼层 (共18层),93,1,南,1,两梯四户,1,2019/4/9,暂无数据,1,1
2,16691,3室2厅1厨1卫,高楼层 (共11层),104.85,2,南 北,1,一梯两户,1,2018/11/1,2017/7/13,0.5,1
14,25901,2室2厅1厨1卫,高楼层 (共33层),88.8,3,东北,1,四梯八户,1,2019/4/16,暂无数据,0.5,0.5
3,21795,3室2厅1厨2卫,高楼层 (共7层),98.65,2,南 北,0,一梯两户,0.5,2019/4/7,2010/12/13,0.5,1
1,20003,2室2厅1厨1卫,中楼层 (共33层),68.49,2,南,1,两梯六户,1,2019/3/5,2017/9/14,1,0.5
1,18243,2室2厅1厨1卫,中楼层 (共33层),87.16,2,南,1,两梯四户,1,2018/11/11,2017/1/18,0.5,0.5
6,14617,1室1厅1厨1卫,低楼层 (共25层),60.89,2,南,0.5,一梯八户,0,2019/4/15,暂无数据,1,1
1,16409,4室2厅1厨2卫,低楼层 (共26层),127.37,2,南 北,0,两梯四户,1,2018/11/7,2017/11/15,0.5,0.5
2,16980,3室2厅1厨1卫,高楼层 (共33层),96,2,南 北,0,两梯四户,1,2019/3/20,暂无数据,1,0.5
3,23269,2室1厅1厨1卫,低楼层 (共25层),55.01,2,西,1,两梯六户,1,2019/3/31,2017/5/23,0.5,1
2,20608,1室1厅1厨1卫,中楼层 (共33层),57.26,2,南,1,两梯五户,1,2018/6/2,2017/11/7,0.5,0.5
